,text
387,"RT @StayWrogn: Hands up, and prepare to scream with joy. It's the festival of colours, and @imVkohli's ready with the first shots! #HappyHo…"
388,"Happy Holi to everyone! Let’s celebrate the vibrant hues, the beautiful relationships and the joyous laughter. Here… https://t.co/kMzbwyyXNe"
389,"Was a joy shooting for this, #PureFun! 
Check out the new Shyam Steel ad for their TMT bars made from #PureSteel.… https://t.co/ine7SYutcO"
390,Was fun to have you around yesterday skip 🤙 @chetrisunil11 #topguy #cricketmeetsfootball https://t.co/sUzZ2xxAgF
392,Another reason to @StayWrogn now! 😎 Feels great to be sporting #WROGN both on and off the field. 🤙🏼 @RCBTweets… https://t.co/p1vwc1zBoE
393,Great to be back at the Chinnaswamy for another season with @RCBTweets. 😎 Can’t wait to be on the field! 💪🏽… https://t.co/OKNjyIDJMg
394,Training with the best gear for the biggest challenge! Effort always 💯#PUMAHybridNX #one8 @PUMA https://t.co/QX2La820A7
395,80 days to go! 👊 https://t.co/1NBlUIdmPL
396,Shocking and tragic. My heart goes out to the ones affected by this cowardly act at Christchurch. Thoughts with the… https://t.co/TLie7FjBU2
397,Touchdown Delhi 🐶 https://t.co/AlvjeTLmNX
398,"Great night with the boys at mahi bhais place last night. Good food, fun chats all around and great energy. Perfect… https://t.co/JZ3TfcW1ln"
399,"This day or the 364 others, a Woman's day is everyday. Nothing but respect and a Happy Women's Day to all. Every da… https://t.co/Pp86YI9fzD"
400,Caught in the act. #focus https://t.co/nVHXr52gkb
401,"Stellar performances, exceptional teamwork! 🇮🇳 https://t.co/foViGqKP82"
402,A little bit of fun off the field never hurt anyone! 😏 Check out the super quirky games on the Mobile Premier Leagu… https://t.co/rJgBmC3Mkr
403,Nagpur next. ✈️ With the lean mean pace machine @MdShami11 🤜🤛 https://t.co/LoQP1OtKYd
404,Real Hero. I bow down to you. Jai Hind 🙏🙏🇮🇳🇮🇳 https://t.co/kDgocwpclA
405,Back to work 💪 https://t.co/5wWlAn7KMt
407,"The RP-SG Indian Sports Honours has been postponed. At this heavy moment of loss that we all find ourselves in, we… https://t.co/eoSZWR2uDh"
408,"I'm shocked after hearing about the attack in Pulwama, heartfelt condolences to the martyred soldiers &amp; prayers for… https://t.co/Z79v0B20nx"
409,About last night with my valentine. ❤️👫 #greatmeal #nueva #loveit @AnushkaSharma @nueva_world https://t.co/DaKRA90ocS
410,True victory is in the quality of the competition and these instances of sporting spirit exemplified quality. Vote… https://t.co/xQIQPnwAR7
411,"Power-packed performances which made the World sit up and take notice
Vote Now! https://t.co/qXV2a6RabM"
412,Talk about favorites and I'm here with the new range of one8 fragrances to add that dash of freshness and confidenc… https://t.co/rFg2Ysjsk7
413,"Talent. Brilliance. And a lot of promise. Vote now, guys! 🙌 https://t.co/bVrb5gEXGB"
414,"Inspiring stories of resilience. Vote now, guys! 🙌 https://t.co/8IPn3tMSRn"
415,Here's wishing a very Happy Birthday to Mr. KM Mammen Sir! It has been a special journey with the @MRFWorldwide family. 😊
420,Fitness will be so much more fun with the new one8 collection. 😍 Watch out for what we have in store very very soon… https://t.co/YVCEFnXMzX
421,Away we go ❤️😃#travelswithher https://t.co/KnDhMbAG3G
422,Happy with the clinical performance. Great team effort. 💪😀 https://t.co/pmVJK3inqF
423,Our victory lies in standing together. Happy republic day to all my fellow Indians. Jai Hind 🇮🇳 https://t.co/bKs9FjQh5H
424,One from my favourite kind of shoots!!! 🐶 #FlashbackFriday #BTS @AudiIN https://t.co/uOtPuQGRHX
425,"@KP24 Well in that case you should've seen my first caption. Much worse. 😂
PS - the face is still in the sun 🤪"
427,A smile is the best way to unwind. 😊 https://t.co/w8RoT6udd3
428,"Family, cricket &amp; more.. Catch me talking about all of it only on my official app! 😊
Click on the link below to wat… https://t.co/CsBH7DrXjZ"
429,What a day at the Australian open. ❤😍👌👌 An amazing way to finish the Australian summer. Forever grateful🙏😇❤#ausopen https://t.co/fqOiekjH3F
430,Great series win and a total team performance. So happy to finish the tour on a high. Jai hind 🇮🇳 #AUSvIND https://t.co/zkLK0ykRqu
431,With some people you don't need to make an effort to connect. 🙏😇❤ https://t.co/cZiwgRF83q
439,"So proud to be a part of this team, great feeling! 😇 This is not just a team this is a family. 😊 Onwards and upward… https://t.co/SHucWdYRP8"
440,"Happy New Year to everyone back home and all over the world, all the way from Australia. Have a wonderful year ahea… https://t.co/vslydMqItG"
441,"I've got something for everyone who want to get to know me better, go to the following link to watch the full video… https://t.co/8C6NS2yJV0"
442,Off to sydney. Looking forward to the new years eve with my one and only ❤️❤️✈️😎. @AnushkaSharma https://t.co/9YhhtZFS2y
443,What a win!! Proud to be part of this unit . Onto Sydney now. Jai hind 🇮🇳🇮🇳🇮🇳 https://t.co/DsW8WXRMGj
444,Here are my Christmas treats. 😁 Make sure you have yours. #MerryChristmas 🎅 🎅 🥳 https://t.co/zsFEnS356X
445,Bringing you your daily dose of energy this Christmas which will help you go through your day like nothing else! 😎… https://t.co/ojBwVqFQQ1
446,10 years with the mad one! 😆🤗👊 @buntysajdeh https://t.co/ZoWxuIERRm
447,Indian summer festival at the Yarra Park with the boys! 🤙 https://t.co/Yz79icqKPG
448,Saw @Zero21Dec and loved the entertainment it brought. I enjoyed myself. Everyone played their parts well. Loved… https://t.co/YmCjrkBPIb
453,Put #YourBestFootForward they say; Lucky for me I have my favourites to pick from the versatile collection of… https://t.co/tMyKrskAMM
454,Can't believe it's been a year already because it feels like it happened just yesterday. Time has truly flown by. H… https://t.co/1UBqh2Cmva
455,Good win. Onto the next one. 🙏 https://t.co/xtqetxM6vm
456,"Excited to launch the all new #one8fragrances, It's been one hell of a ride for the team! 😀 And these have been car… https://t.co/b1S7V8Od8d"
457,That's what happens when you do group circuit training! 🏋️ https://t.co/bIKhq1mwqD
458,The rain doesn't seem to be going away so we decided to make something of our day ✌️💪. Gotta love a good workout wi… https://t.co/Hqjn8Avkp1
459,That view 😍✌️. Lovely place this. https://t.co/s6VjtKY1QQ
460,Great to see this guy and everyone else stepping up together. 💪🏼 On to the Tests now! ✌🏼 @imkuldeep18 https://t.co/OES174LSvk
461,Can't believe it's been 4 years of #WROGN! 🤸 #StayWrogn #StayMad 😀 @StayWrogn https://t.co/gQL0Ri7I1K
462,There's no ideal way to put in hard work. Everyday is an opportunity. Stay fit stay healthy! ✌️💪🏃 https://t.co/ytNV9bTrLg
463,Back to Australia. Looking forward to the next few weeks with this champion @RishabPant777 ✌️✌️ https://t.co/Ikd8La5CUb
464,We’re on our way to the semi-finals.. and it’s time to back Team India to bring home the World Cup!… https://t.co/NV9ZaSc2c4
465,Great to meet these kids! Happy Children's day. 😊 https://t.co/zv9aci6lNM
466,"Great show by the boys to claim another series. 💪 Big congratulations to all the boys, the support staff and everyo… https://t.co/IC7tkZNWEX"
467,"Just 1 day to go &amp; here’s the last hint-
“In the middle of making something, just checking for all the pieces.”🧐
Sh… https://t.co/CwOlEHU2Wd"
469,"I guess trolling isn't for me guys, I'll stick to getting trolled! 😁
I spoke about how ""these Indians"" was mentione… https://t.co/um7W7xl2cT"
470,"Picking it up from where we left it day before for @one8Select, here's another hint. 🧐 Guess what it is and lucky w… https://t.co/XqdidIoVL3"
471,"A very happy and prosperous Diwali to everyone from our home. Wishing everyone peace, happiness and good health. Go… https://t.co/sqkqC1fk3F"
472,"The next chapter in the one8 journey is here - one8select
Here's ur chance to win something special from the one8se… https://t.co/yORVLa4RmJ"
473,Every year you guys send so much birthday love! Time for me to return the love with some added sweetener for Diwali… https://t.co/phV6qZCBgQ
474,""" Virat like never before? ” 🧐 Well it’s not a media headline this time, it’s actually a surprise coming your way s… https://t.co/QvKZkfBaj1"
475,"If you were looking for a chance to get your Basket Classic #one8 shoes customised, this is it. 😊
Dates - 3rd and 4… https://t.co/lyD5tLwYW9"
476,Great effort by the boys to win the series. So proud to be a part of this dedicated side! ✌️ #INDvWi https://t.co/zAU0XfQ5Ce
477,"Done for the day. Training ✅, massage ✅, recovery pool session ✅. Now a good meal and a long sleep. Bliss 👌 https://t.co/8FzzwFS6FO"
478,Hours at the nets. Hours at the gym. Hours with the design crew at @PUMA! 😁 Here's a quick peek into what makes the… https://t.co/rTeaOqIfxU
479,My life. My universe. ❤❤ Karvachauth ❤👫 @AnushkaSharma https://t.co/a2v18dh8rH
480,💪 https://t.co/ze9EJOcxhW
481,Black on Black swag with #one8 😎 Comfort levels. 👌 https://t.co/G6iOVnaDMY
482,What a stunning place.👌 Love coming to Vizag. 😎✌ https://t.co/ACxmWHoBte
483,My prayers are with the families of those affected by the terrible train accident in Amritsar yesterday.
484,"RT @DabbooRatnani: Wow❣️ Love These Personalised Limited-Edition Kicks 👟 , @imVkohli . Thanks sooo much! @PUMA 💯 #dabboo @ManishaDRatnani @…"
485,"Thank you guys for all the love bestowed on my very first sneaker. 🙏 For everyone asking, the Basket Classic #one8… https://t.co/dsPYKh7K3e"
486,RT @remodsouza: Yayyyyy this is amazing #One8 @PUMA thanks a ton @imVkohli love this. https://t.co/jq4DmdhUD9
487,"100% classic, 100% me!
And it's finally here! I'm launching the Basket Classic one8 today. 😇 It’s the very first sn… https://t.co/QtnfP245Jh"
488,Getting it right when you think you got it all WROGN 😂🤘🏻@StayWrogn #TrailerTheMovie https://t.co/htlWP6L7wx
489,"With focus and hard work, anything is possible. Keep working, keep believing. Have a super day everyone. 💪🏃‍♂️🏃‍♂️ https://t.co/x3a0ODbpeW"
490,"Great job by the guys to win that tight game last night. ✌🏾 @BCCI
Seventh Asia Cup title for us 🙌🏽 🏆
Congrats to Ba… https://t.co/EBXK0GBCzw"
491,(2) Mauji was superb @Varun_dvn. But Mamta's character stole my heart totally. Her ability to be so quiet yet so po… https://t.co/HKWX6Z1TfP
492,Saw @SuiDhaagaFilm for the second time last night and I loved it more than the first time. What an emotional roller… https://t.co/JR9DDeEH18
493,"Bowled over by this flawless watch crafted by the amazing people at @TISSOT for me! 😊 Big thank you to Team Tissot,… https://t.co/lQR8KAbRPc"
494,"We did put the right date on the poster, it's just that we decided to release it on the #Wrogn date. 😋
So, without… https://t.co/oGIK4yZW3P"
495,Work Work Work! 🏃‍♂🏃‍♂🏃‍♂ https://t.co/bblmmAYQs9
496,Humbled to have received the Khel Ratna from our Honourable President. 🙌🏻 🇮🇳 #JaiHind https://t.co/w7tDaNVe8V
497,Time to tease you guys with a small teaser. 😋 https://t.co/wMju9mzDzh #TrailerTheMovie https://t.co/Gl3ZZT20Ht
498,"Watch the premiere episode of #MegaIcons featuring me, tonight at 9 PM at @natgeoindia. 😊"
499,Well done boys. What a joy to watch.Great win for us. Onwards and upwards 💪🇮🇳 #INDvPAK #AsiaCup2018
500,"Great lunch today at @nueva_world, food was outstanding and the company couldn't have been better. ❤ Great place fo… https://t.co/RyBtUq0eM8"
501,"Another debut after 10 years, can't wait! 😀 #TrailerTheMovie https://t.co/zDgE4JrdDT https://t.co/hvcovMtfAV"
502,Here’s wishing Team India a super series at the Asia Cup. 👊🏻 #Meninblue  #AsiaCup2018 @BCCI
503,"Time to sweat it out again and have fun while at it, PLAY DAY is here! Let's #ComeOutAndPlay. #one8 @PUMAIndia

Fin… https://t.co/nYdH8bURDa"
504,A very Happy Birthday to our Honourable Prime Minister Shri @narendramodi Ji. Wishing you lots of good health and happiness. 🙏
505,Sometimes you've got to unplug to recharge! ✌️ #ComeOutAndPlay #NewEraIndia #one8 https://t.co/O3AIDsSAJu
507,"Defeats Pain Instantly, Pushes me Harder - on and off the field. 😊
Volini Maxx - India’s Strongest Pain Relief Spra… https://t.co/tm2mcYrUDx"
508,Congratulations to Mr. Pawan Aggarwal and his team at @fssaiindia for this educational message on a healthy life st… https://t.co/GkkzNiAGPA
509,"Throwback to fond memories with @bhawnadhingra2 Didi 😊
Wishing a very Happy #Rakhi to all the sisters around the wo… https://t.co/Dqzuf4Kwu3"
510,Met this beautiful boy who was patient enough to take a picture with us 😍🐶 https://t.co/Uu2AyiZCfn
511,A day with the boys at work! ✌️ https://t.co/yKpMKfC0tG
512,Game for the #QuirkyCatches Challenge?@klrahul11 @JontyRhodes8 @rashidkhan_19 @adu97 @faf1307 @hershybru… https://t.co/ysgdzWegYu
513,Top performance by the boys! Amazing game and a great win. ✌️ https://t.co/QXlULwh7PW
514,"Everyone in Kerala, please be safe and stay indoors as much as you can. Hope the situation recovers soon. Also, tha… https://t.co/k8yeAhpI9t"
515,Great day at training today. Looking forward to the next game. ✌️ https://t.co/RSvnH4EZdm
516,A sombre day for us as we mourn the loss of former PM Atal Bihari Vajpayee ji and Legendary Indian Captain Ajit Wad… https://t.co/qoRgyFfec5
517,"When you want it all Wrogn, there is only one place to get them. Visit https://t.co/hpfPL9G36I and #StayWrogn… https://t.co/DVrDRhq1SQ"
518,"Today, let's celebrate the things that unite us all instead of dwelling on our differences. Howzzat for a change?… https://t.co/B6YkQmYPxo"
523,"Pure Genius 👌 @DesiFrenzy
https://t.co/5JDsrJHHjb"
524,Happy friendships day 🐵❣️👫 https://t.co/tou5CwLgfA
525,"No guts -No glory-No story!
On stands tomorrow ✌🏻 @gqindia https://t.co/TJRyO1HuWt"
526,Just being able to walk around feels like the most joyous thing in the world. 😊♥️ https://t.co/hXXQPuXTnw
527,"From the best fast bowlers to all-rounders, I would like to introduce you to my incredible @Uber_India eleven. 😊 In… https://t.co/M3506tyPwf"
528,Meal with the bestest! ♥️♥️♥️ https://t.co/4UwGbHxIyE
530,One of the best feelings watching this video! Thank you everyone for your constant and unconditional support for us… https://t.co/OsGfU05nEs
531,"What an incredible achievement for #HimaDas, the first Indian to win a Gold Medal in 400m Sprint at the World Under… https://t.co/mLTb2RbfJt"
532,"Day out with my beauty! 🤩♥️
@AnushkaSharma https://t.co/ksurAb0VQH"
533,"RT @StayWrogn: Hey breakaways, play and win like a boss.  #HappyVideoGameDay @imVkohli https://t.co/9hFu8MUE17"
534,Such a great feeling to have played with such talented team mates and win the series in a great style. Time to cele… https://t.co/DCKpDNpsXw
535,Happy birthday Mahi Bhai. God bless you. 💪💪😇 https://t.co/YeuQ8k9oWb
536,The most exciting feeling is walking out with your team mates to represent your country. The passion of fans create… https://t.co/RnaBhQ10Tb
537,What a knock by the Baaaaas @klrahul11 💪😎 https://t.co/KDOoZh4ZGB
538,Wishing the champion bowler and an amazing human being @harbhajan_singh a very happy birthday. Keep inspiring and H… https://t.co/DsQZKmDTm1
539,"Good news, guys! You don’t have to remember anything today. 😄 #IForgotDay #StayWrogn @StayWrogn https://t.co/DrQA44HgJV"
540,Top session with guys! 👌💪 https://t.co/q4KpG4T6oe
541,"@sachin_rt paaji, thanks for nominating me for the Fitness kit-up Challenge, I'm kitting up to play the sport I lov… https://t.co/DHNMEiI6VB"
542,Beautiful day in Sunny Dublin. 👌 https://t.co/fAGkBtLfcm
543,RT @MerchantTaylors: Fantastic to see @imVkohli training at Merchant Taylors' yesterday - a brilliant example to our young cricketers! http…
544,Off to Ireland with someone photobombing behind us! 😂👍 https://t.co/W7z729cq2d
545,My love for beard knows no bounds. @PhilipsMenIn is going to show you my undying love for beard with… https://t.co/8nsLylwkss
546,"Hi everyone, I'm really happy to share that a Wrogn Store is now open at Surat - a city I love for its beauty and e… https://t.co/U3hIrepCJc"
547,"Off we go. UK Bound! 👍💪
@msdhoni @SDhawan25 Arun Kanade https://t.co/WnJvRkHYFs"
548,Get your #swag on for the football season with my favourite backpacks from the #SwagPack collection by… https://t.co/ahnFW9tLyC
549,Driving into the sunset after a good shoot! 👌#NewCollection #ComingSoon #StayWrogn https://t.co/1nit4JAAwD
550,"Today's session included a lot of band work for lower body strengthening; including lateral band walk, monster walk… https://t.co/TC3yRbWvaf"
551,Thank you @IndiaSports for keeping the joy of sports alive. 🙏 https://t.co/yQpWHUdE3W
552,Wishing you a successful World Cup campaign @HKane! 💪😊 #WorldCupRussia2018 #HarryCan
553,Bangalore and Goa! My play wagons are coming for you today. So spot the play wagon and send me your picture playing… https://t.co/Si5JroiKoC
554,PLAY DAY is here! 😀 It's time for you to go out and #One8 because I'm sending you my Play Wagons! Spot the wagon an… https://t.co/WAFRSmEl62
555,This Father's day do something memorable and make it special with your father. 😊 #HappyFathersDay #ComeOutAndPlay https://t.co/amwaFOuqfB
556,Being active on social media isn’t being active. #ComeOutAndPlay https://t.co/3tWix5s1tn
557,Lot of people who don't have the courage to do something like this find it funny. Everything for people nowadays is meme content. Shame.
558,Saw these people throwing garbage on the road &amp; pulled them up rightfully. Travelling in a luxury car and brains go… https://t.co/Rj7bUG55vg
559,"Don’t tell stories about the days you played sports. Show it, when you #ComeOutAndPlay https://t.co/pxgeCIHbFr"
560,Look to your left. Look to your right. 1 out of 3 people have been physically inactive for the last one year. Time… https://t.co/j8NQNc9QD9
561,"Every day, you and I move with purpose. And @Uber_India helps move us forward, one ride at a time.
What inspires you to #MoveForward?"
562,Champions!!!! Another stellar performance from our captain @chetrisunil11 and the entire team last night. This will… https://t.co/NsqsEGzbsb
563,"All said and done, I think this has gone a little too far now. It’s time I address this personally. #LoveItTrimIt… https://t.co/2tFivmN5l0"
564,"The talk around my beard is quite entertaining. @klrahul11, @buntysajdeh, @yuzi_chahal, @y_umesh it's popcorn time… https://t.co/WcN0SHt5tJ"
565,Gearing up for something Uber exciting – RT and I'll ensure you're first to know what's brewing! #BadhteChalein https://t.co/cgCGaQaR7V
566,Viju Bhaiya lives abroad now but his promises to me always come home thanks to @Remit2India. Happy to be part of Re… https://t.co/IwOb5aimZX
567,"The overseas season is about to start and here's wishing one of the finest we've got, @ajinkyarahane88, a very Happ… https://t.co/7x8Lo3y5ka"
568,The last two years have been fantastic for @IndianFootball and last night again they showed that they mean business… https://t.co/NGBbu2ZJDx
569,"Come 6th of June, let’s play statue! 😉 Excited to be at #MadameTussauds 😃
#TussaudsDelhi
@MadameTussauds… https://t.co/ukm9TyHQOi"
570,Please take notice of my good friend and Indian football skipper @chetrisunil11's post and please make an effort. https://t.co/DpvW6yDq1n
571,RT @chetrisunil11: This is nothing but a small plea from me to you. Take out a little time and give me a listen. https://t.co/fcOA3qPH8i
572,Hey Guys! Grab the breakaway youth fashion from the Wrogn Throwaway Festival for just Rs.499 and Rs.999 only at Myn… https://t.co/m6rU5GiVz1
573,Hard work always pays off 👍💪 https://t.co/NmhPOmhS2f
574,"@rohanbopanna Thanks Rohan, hope you're doing well. 😊"
575,"Hey mate checked out the store and the stuff looks really good. My best wishes, I’m sure it’s gonna be a big succes… https://t.co/v1pMjsUbjj"
576,Can't do weights yet but can run instead! 🏃🏻 Find a way even on a Sunday! 🤓 https://t.co/3DUvs4WEe1
577,Wish you all the best in everything that you do my brother. You’ve changed the way batting was seen in the time you… https://t.co/L3yALmzo1p
578,"I really believe in the concept of, ""you either win or you learn"". We fought hard and gave it our all but one thing… https://t.co/SeRzQmUB85"
579,"I have accepted the #FitnessChallenge by @ra_THORe sir. Now I would like to challenge my wife @AnushkaSharma , our… https://t.co/aRUYRfDLne"
580,@Ra_THORe @iHrithik @NSaina (2/2) This is my way to keep fit @Ra_Thore sir. I challenge @ShreyasIyer15 and… https://t.co/EOhwdQEP8x
581,"@Ra_THORe @iHrithik @NSaina (1/2) Great initiative sir, you've hit the bulls eye. I recently discovered that 1/3 of… https://t.co/YEmJlQiU4c"
582,@KP24 @TheBig_Easy @piersmorgan You must try @muveacoustics bro and let me know what you think about them! 😉
583,I have been listening to my fans and here’s what I want to say. What you see me bingeing on are @TooYumm Multigrain… https://t.co/ebCPXfnift
584,https://t.co/KkaBwOVsSy
585,"RT @MuveAcoustics: Congratulations to madu_bala16, _mahak_kanoi_… https://t.co/aKmIcr4P8r"
586,"@sundarpichai @ABdeVilliers17 Thank you @sundarpichai!
Glad we could entertain you. 😊"
587,"Saw #SpiderMan Live today! 😮
@abdevilliers17
#RCBvsSRH #IPL2018 https://t.co/mUuGVKuTn4"
588,@AnushkaSharma Yes my love. Indeed we arrived today 😃❤
589,It's time guys. Time for everyone to re-discover the joys of playing. Time to run past all the excuses. 😀 So get re… https://t.co/V4AuTXUilG
590,"Don't think you can put this across any better; to the REAL superheroes, #HappyMothersDay 🙌🙌🙌🙌 https://t.co/mfeCYwlqce"
591,Have always loved batting with this guy. Makes things simpler for the person at the other end. Today was yet anothe… https://t.co/wzv8GFlZSx
592,I'm going live on my Facebook and Instagram tomorrow at 1:30pm. Join me. We've got a lot of important things to dis… https://t.co/Q6A5zpBeyA
593,DISTURBED! https://t.co/sQCBy1OaZL
594,The laughter riot continues with round 3 of #WrognIn60Seconds. 😁 Watch it now. @RCBTweets #StayWrogn https://t.co/fOilhGz3hq
595,Happy B'day my love. The most positive and honest person I know. Love you ♥️ https://t.co/WTepj5e4pe
596,"Happy Birthday @ImRo45 😊
God bless!"
597,Think you can run faster than me? 🤔 Here’s my fastest time for 3 runs. Pad up and send a video of your fastest 3 ru… https://t.co/E6EmlXP7bW
598,Love these frames! 🤓🤓 https://t.co/Z9WHKE7b3g
599,"#RoadSafetyWeek, join me in taking a pledge to not be a danger on the road. @nitin_gadkari @MORTHIndia @Uber_India https://t.co/AmIHcL9EKT"
600,Always love meeting such confident kids. Such positive energy. 😊 https://t.co/HcVuCb7vQR
601,Wish you a very Happy Birthday @sachin_rt Paaji. 🤗😊 You are and will always be the real Master Blaster! 🙏👏
602,RT @StayWrogn: Our main man in action! @imVkohli #StayWrogn https://t.co/taGEJ11WhO
603,Thank you @sachin_rt paaji for such warm and encouraging words. Truly honored for being able to make it to the… https://t.co/E5yjmvKVwI
604,"Guys, the madness has begun. Catch me and my #RCB pals in round one of #WrognIn60Seconds right here. #StayWrogn… https://t.co/qd9trWPxls"
605,RT @harbhajan_singh: Congratulations brother @imVkohli for your new partnership with @NewEraCap #Great collection 👌✅ https://t.co/LvsyodLwHZ
606,"Hey guys, excited to announce that I’ve signed with @NewEraIndia1920 to launch my own headwear line!
My… https://t.co/E93JyvlMQk"
607,"Guys, the maddest game show ever goes live in less than 48 hours. In the meanwhile, here's another glimpse of the m… https://t.co/hvOMi6lZtv"
608,Just too excited to be a part of something this mad. 😁 Stay tuned to find out more. #WrognIn60Seconds #RCB… https://t.co/5Z9VboLXjY
609,"Bringing motosport to a road near you, this masterpiece of a machine; The Audi RS 5 Coupe. 👌😍 @AudiIN… https://t.co/Gno55Qwa00"
610,Work sometimes is hectic but fun when you have good people with you. 😊 https://t.co/tug1aaD8Rw
611,It's that time of the year again and I've got a special message for you guys. Listen carefully. #StayWrogn https://t.co/XdbU4aQ9pQ
612,Aiden Markram 👌👏
613,Hey guys! The world's biggest T20 extravaganza is around the corner and @RCBTweets is thrilled to have @StayWrogn a… https://t.co/DXxDpoSn7e
614,"RT @MuveAcoustics: Continuing with our ""MY"" series, we present the best way to be flexible! My Music, My Moves. #FlexibilityGoals #Ignite h…"
615,"Just finished my conditioning training guys, what's your training plan today? #ComeOutAndPlay https://t.co/JQY7eTOWzz"
616,"Despite being curable, TB is world’s top infectious killer. Made by @KanhaiSharma04 and has done a great job at it.… https://t.co/DN2SaLBLcL"
617,Great session today. Getting stronger everyday! 👍💪✅ https://t.co/2J3VHK3Lre
618,Aiden Markram is a delight to watch!
619,Great Job and very well said Bhajju Pa 👌🙏 https://t.co/1cqvQGbDwd
620,Great cut from the style master @AalimHakim👌 https://t.co/mGiPVrjiC5
621,"What a game of cricket last night, Complete team performance! Big up boys!!! 💪👌Well done DK @DineshKarthik 👊
@BCCI… https://t.co/JkmI3f5hRZ"
622,Early morning training is Bliss! 👌👌 #ComeOutAndPlay @PUMA https://t.co/MfnreLI1LC
623,Congratulations to my brother Vikas @omegus10 and Vikrant for winning the Best Western Cuisine Award at the Times F… https://t.co/vnbfjICTm9
624,"Disappointed that we couldn't make it to the finals, but great courage shown by the boys! Congratulations on a sple… https://t.co/EhgnlE7T96"
625,"Congratulations @DivyaDhayal, ace Archer &amp; #VKF athlete, for winning a Bronze in the Compound team category in the Asia Cup at Bangkok! 👏"
626,Chilling and how! 😎 https://t.co/GaRCzSWFCZ
627,It's been a great evening here at the Fortress. Thank you #Gaurs for being the best 12th man throughout this season… https://t.co/MJfHABlBdc
628,Love the new SS'18 #One8 collection!!! 😍 👌@Puma #ComingSoon #ComeOutAndPlay https://t.co/vmP203JR7I
629,Looking forward to a successful innings with @Uber_India. Stoked to #TakeABackseat and here's why! #UberIndia https://t.co/fLwCz5eJ25
630,"RT @Uber_India: Stepping up to bat for Uber, he's here to #TakeABackseat only to drive billions forward! Say hello to our newest partner @I…"
